iso3c;Country;pos_veg_uninformed;pos_veg_informers;pos_veg_supporters;pos_veg_critics;pb_meat_text;pb_milk_text;pb_dairy_text;pb_meat_graphics;pb_milk_graphics;pb_dairy_graphics;single_meat;single_dairy;eco_pb_pos;eco_ab_neg;sourcepb_protein;sourcepb_iron;sourcepb_calcium;sourcepb_zinc;sourcepb_n3;sourcepb_b12;bfci;year_fbdg;page_length;page_length_sqrt;share_veg;epi;prod_pct_gdp_meat;prod_pct_gdp_dairy;prod_pct_gdp_cereal;prod_pct_gdp_vegfruit;gdpk_per_cap;bfci_nsfg_meat;bfci_nsfg_dairy;bfci_pbs_protein;bfci_pbs_iron;bfci_pbs_calcium;bfci_pbs_zinc;bfci_pbs_n3;bfci_b12;bfci_pba_meat;bfci_pba_milk;bfci_pba_dairy;bfci_rec_veg;bfci_veg_healthy;bfci_veg_eco
FIN;Finland;0;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;49;2016.5;60;7.75;5.5;78.9;0.3084;0.4144;0.2183;0.1517;43.7847;0;0;3;3;3;0;3;5;5;5;0;13;9;5
FRA;France;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;23;2019;72;8.49;7;80;0.5515;0.3792;0.3509;0.9686;37.0376;0;0;3;0;0;0;3;5;0;0;0;13;0;0
GEO;Georgia;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;30;2005;29;5.39;7;41.3;1.2646;1.2116;0.5681;1.0353;4.0622;19;0;3;3;3;0;3;0;0;0;0;0;0;0
DEU;Germany;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;32;2017;63;7.94;12;77.2;0.41;0.2839;0.1955;0.1643;42.1075;0;0;3;3;3;3;3;5;0;0;0;13;0;0
GRC;Greece;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;24;2014;132;11.49;7;69.1;0.5876;0.7422;0.4384;1.8192;17.8852;0;0;3;3;3;3;0;0;0;0;0;13;0;0
GRD;Grenada;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;6;2008;14;3.74;12;43.1;0.5054;-99;0.0302;15.9333;9.6282;0;0;0;0;3;0;0;0;5;0;0;0;0;0
GTM;Guatemala;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;1;0;36;2012;57;7.55;12;31.8;-99;-99;-99;-99;4.1733;0;19;3;3;3;0;3;0;0;0;5;0;0;0
GUY;Guyana;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3;2018;10;3.16;12;35.9;-99;0.9507;-99;4.4369;5.8114;0;0;3;0;0;0;0;0;0;0;0;0;0;0
HND;Honduras;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;0;0;15;2013;57;7.55;12;37.8;2.5484;1.2049;0.9806;2.079;2.3426;0;0;3;3;3;3;0;0;0;0;5;0;0;0
ISL;Iceland;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;59;2018;30;5.48;7;72.3;0.6335;0.4489;0.0089;0.0804;61.9874;19;19;3;3;0;0;0;0;0;0;0;13;0;5
IND;India;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;24;2011;139;11.79;35;27.6;0.6468;3.4818;4.7063;3.8918;1.7326;0;0;3;3;3;0;3;0;0;0;0;13;0;0
IDN;Indonesia;0;0;0;1;1;1;0;1;0;0;1;1;0;0;1;1;1;1;1;1;50;2017;294;17.15;28;37.8;1.4713;0.0813;5.2605;2.0658;3.5628;0;0;3;3;3;3;3;5;5;5;0;13;9;0
IRQ;Iraq;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;2012;8;2.83;22;39.5;-99;0.1833;0.9786;0.5818;4.5506;19;0;0;0;0;0;0;0;0;0;0;0;0;0
IRL;Ireland;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;30;2016;6;2.45;10;72.8;1.3053;0.6359;0.1064;0.0926;62.9945;19;0;3;0;3;0;0;0;5;5;0;0;0;0
ISR;Israel;0;0;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;0;0;56;2019;29;5.39;13;65.8;0.6501;0.2403;0.0386;1.0197;37.2829;0;19;3;3;3;0;0;0;5;5;5;13;0;5
ITA;Italy;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;61;2018;231;15.2;7;71;0.4958;0.2623;0.2175;0.9945;30.9398;19;0;3;3;3;3;3;5;5;0;5;13;0;5
JAM;Jamaica;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3;2015;15;3.87;12;48.2;0.6639;0.0355;0.0552;4.5986;4.8437;0;0;3;0;0;0;0;0;0;0;0;0;0;0
JPN;Japan;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;24;2016;21;4.58;28;75.1;0.5279;0.1394;0.4285;0.5546;38.7615;19;0;0;0;3;0;0;0;0;0;0;0;0;0
JOR;Jordan;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;2012;8;2.83;22;53.4;2.1268;0.7781;0.1123;3.5959;4.1754;19;0;0;0;0;0;0;0;0;0;0;0;0;0
KEN;Kenya;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;12;2017;100;10;22;34.7;3.883;4.5266;1.7956;2.1637;1.4105;0;0;3;3;3;3;0;0;0;0;0;0;0;0
KWT;Kuwait;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;2012;8;2.83;22;53.6;-99;0.0355;0.0038;0.1905;27.6532;19;0;0;0;0;0;0;0;0;0;0;0;0;0
LVA;Latvia;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;45;2018.5;29;5.39;7;61.6;0.535;0.8419;1.4127;0.281;14.3156;19;0;3;3;3;3;3;0;0;0;0;13;0;0
LBN;Lebanon;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;56;2013;79;8.89;22;45.4;0.7965;0.61;0.13;3.8838;7.6263;19;0;3;3;3;3;3;5;5;5;0;13;0;0
LUX;Luxembourg;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;44;2016;37;6.08;4;82.3;0.0945;0.1912;0.033;0.0327;104.2776;19;0;3;0;0;0;0;5;5;0;0;13;0;0
MYS;Malaysia;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;62;2010;261;16.16;28;47.9;1.4609;0.0081;0.2667;0.4022;9.8179;19;0;3;3;3;3;3;5;5;0;0;13;9;0
MLT;Malta;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;53;2015.5;64;8;7;70.7;0.2903;0.1985;0.0966;0.4632;25.7425;19;0;3;3;3;3;3;0;0;5;0;13;0;5
MEX;Mexico;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;38;2015;194;13.93;28;52.6;1.3785;0.3405;0.6699;1.0597;8.7446;19;0;3;3;3;3;3;0;0;0;0;0;0;5
MNG;Mongolia;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2010;1;1;28;32.2;5.063;2.6151;0.8596;0.5503;3.6602;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NAM;Namibia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;45;2000;20;4.47;22;40.2;1.1259;0.3281;0.2214;0.357;4.547;19;19;3;3;3;0;0;0;0;0;0;0;0;0
NPL;Nepal;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;9;2017;2;1.41;28;32.7;4.8412;3.9469;9.3339;8.2843;0.8995;0;0;3;3;3;0;0;0;0;0;0;0;0;0
NLD;Netherlands;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;94;2018;190;13.78;5;75.3;0.6309;0.6163;0.028;0.4524;46.008;19;19;3;3;3;3;3;5;5;5;5;13;9;5
NZL;New Zealand;0;0;1;0;1;1;0;1;1;0;0;0;1;0;1;1;1;1;0;1;82;2020;164;12.81;3.3;71.3;2.2319;2.8026;0.1255;1.1829;40.0798;19;19;3;3;3;3;0;5;5;5;0;13;0;5
NGA;Nigeria;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;39;2000;36;6;22;31;0.5006;0.0172;1.0337;2.5074;2.176;19;19;0;3;0;0;0;0;0;0;0;0;0;0
